stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR1141X-BLK-3X/4X,"Miss Behavior Crotchless Panty - Black 3X/4X",Panty,RR1141X,0,"Rene\1141X-BLK-8608","Rene\1141X-BLK-8641.jpg"
RR1142X-BLK-1X/2X,"Dot To Trot Crotchless Panty - Black 1X/2X",Panty,RR1142X,2,"Rene\1142X-BLK-8843","Rene\1142X-BLK-8857.jpg"
RR1142X-BLK-3X/4X,"Dot To Trot Crotchless Panty - Black 3X/4X",Panty,RR1142X,2,"Rene\1142X-BLK-8843","Rene\1142X-BLK-8857.jpg"
RR1143X-BLK-1X/2X,"Deep V Crotchless Panty - Black 1X/2X",Panty,RR1143X,0,"Rene\1143X-BLK-8665","Rene\1143X-BLK-8683.jpg"
RR1143X-BLK-3X/4X,"Deep V Crotchless Panty - Black 3X/4X",Panty,RR1143X,3,"Rene\1143X-BLK-8665","Rene\1143X-BLK-8683.jpg"
RR1144-BLK-M/L,"Pure Nv Crotchless Panty - Black Medium/Large",Panty,RR1144,7,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1144-BLK-S/M,"Pure Nv Crotchless Panty - Black Small/Medium",Panty,RR1144,0,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1144-RED-S/M,"Pure Nv Crotchless Panty Red / Small/Medium",Panty,RR1144,5,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1144-RED-M/L,"Pure Nv Crotchless Panty Red / Medium/Large",Panty,RR1144,5,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1145-BLK-M/L,"Come Undone Crotchless Panty - Black Medium/Large",Panty,RR1145,0,"Rene\1145-BLK-0989","Rene\1145-BLK-1017.jpg"
RR1145-BLK-S/M,"Come Undone Crotchless Panty - Black Small/Medium",Panty,RR1145,0,"Rene\1145-BLK-0989","Rene\1145-BLK-1017.jpg"
RR1146-BLK-M/L,"Behind The Mask Sexcessory Set - Black Medium/Large",Stockings,RR1146,8,"Rene\1146-BLK-0471","Rene\1146-BLK-0520.jpg"
RR1146-BLK-S/M,"Behind The Mask Sexcessory Set - Black Small/Medium",Stockings,RR1146,4,"Rene\1146-BLK-0471","Rene\1146-BLK-0520.jpg"
RR1147-BLK-M/L,"Your Way Crotchless Panty - Black Medium/Large",Panty,RR1147,6,"Rene\1147-BLK-8600","Rene\1147-BLK-8621.jpg"
RR1147-BLK-S/M,"Your Way Crotchless Panty - Black Small/Medium",Panty,RR1147,6,"Rene\1147-BLK-8600","Rene\1147-BLK-8621.jpg"
RR1148-BLK-M/L,"All Access Crotchless Panty - Black Medium/Large",Panty,RR1148,12,"Rene\1148-BLK-8581","Rene\1148-BLK-8590.jpg"
RR1148-BLK-S/M,"All Access Crotchless Panty - Black Small/Medium",Panty,RR1148,5,"Rene\1148-BLK-8581","Rene\1148-BLK-8590.jpg"
RR1148X-BLK-1X/2X,"All Access Crotchless Panty - Black 1X/2X",Panty,RR1148X,6,"Rene\1148X-BLK-6049","Rene\1148X-BLK-6067.jpg"
RR1148X-BLK-3X/4X,"All Access Crotchless Panty - Black 3X/4X",Panty,RR1148X,6,"Rene\1148X-BLK-6049","Rene\1148X-BLK-6067.jpg"
RR1149-BUR-M/L,"Dive Deep Open Back Panty - Burgundy Medium/Large",Panty,RR1149,4,"Rene\1149-BUR-8568","Rene\1149-BUR-8578.jpg"
RR1149-BUR-S/M,"Dive Deep Open Back Panty - Burgundy Small/Medium",Panty,RR1149,3,"Rene\1149-BUR-8568","Rene\1149-BUR-8578.jpg"
RR1149X-BUR-1X/2X,"Dive Deep Open Back Panty - Burgundy 1X/2X",Panty,RR1149X,3,"Rene\1149X-BUR-5974","Rene\1149X-BUR-5995.jpg"
RR1149X-BUR-3X/4X,"Dive Deep Open Back Panty - Burgundy 3X/4X",Panty,RR1149X,3,"Rene\1149X-BUR-5974","Rene\1149X-BUR-5995.jpg"
RR1150-BLK-M/L,"Hot Hook Upc Crotchless Panty - Black Medium/Large",Panty,RR1150,14,"Rene\1150-BLK-8550","Rene\1150-BLK-8558.jpg"
RR1150-BLK-S/M,"Hot Hook Upc Crotchless Panty - Black Small/Medium",Panty,RR1150,16,"Rene\1150-BLK-8550","Rene\1150-BLK-8558.jpg"
RR1150X-BLK-1X/2X,"Hot Hook Upc Crotchless Panty - Black 1X/2X",Panty,RR1150X,16,"Rene\1150X-BLK-6017","Rene\1150X-BLK-6030.jpg"
RR1150X-BLK-3X/4X,"Hot Hook Upc Crotchless Panty - Black 3X/4X",Panty,RR1150X,16,"Rene\1150X-BLK-6017","Rene\1150X-BLK-6030.jpg"
RR1151-BLK-M/L,"Exquisite Trap Crotchless Pant - Black Medium/Large",Panty,RR1151,13,"Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0779","Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0774.jpg"
RR1151-BLK-S/M,"Exquisite Trap Crotchless Pant - Black Small/Medium",Panty,RR1151,13,"Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0780","Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0774.jpg"
RR1152-WHT-M/L,"All Tied Up Open Back Panty - White Medium/Large",Panty,RR1152,0,"Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3316","Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3340.jpg"
RR1152-WHT-S/M,"All Tied Up Open Back Panty - White Small/Medium",Panty,RR1152,1,"Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3316","Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3340.jpg"
RR1152-BLK-M/L,"All Tied Up Open Back Panty - Black Medium/Large",Panty,RR1152,0,"Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2137","Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2170.jpg"
RR1152-BLK-S/M,"All Tied Up Open Back Panty - Black Small/Medium",Panty,RR1152,1,"Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2137","Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2170.jpg"
RR1152X-BLK-1X/2X,"All Tied Up Open Back Panty - Black 1X/2X",Panty,RR1152X,1,"Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1755","Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1744.jpg"
RR1152X-BLK-3X/4X,"All Tied Up Open Back Panty - Black 3X/4X",Panty,RR1152X,1,"Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1755","Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1744.jpg"
RR1153X-BLK-1X/2X,"Attention Seeker Open Bk Panty - Black 1X/2X",Panty,RR1153X,2,"Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1894","Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1921.jpg"
RR1153X-BLK-3X/4X,"Attention Seeker Open Bk Panty - Black 3X/4X",Panty,RR1153X,1,"Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1894","Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1921.jpg"
