stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10695-WHT-OS,"Toast of the Town Robe - White One Size","Gowns & Robes",STM10695,2,"STM\10695_WHITE_F.jpg","STM\10695_WHITE_B.jpg"
STM10695-RED-OS,,"Gowns & Robes",STM10695-RED-OS,26,"STM\10695_RED_F.jpg","STM\10695_RED_B.jpg"
STM10695X-BLK-QUEEN,,"Gowns & Robes",STM10695X-BLK-QUEEN,24,"STM\10695X_BLACK_F.jpg","STM\10695X_BLACK_B.jpg"
STM10695X-RED-QUEEN,,"Gowns & Robes",STM10695X-RED-QUEEN,43,"STM\10695X_RED_F.jpg","STM\10695X_RED_B.jpg"
STM10695X-WHT-QUEEN,"Toast of the Town Robe - White Queen Size","Gowns & Robes",STM10695X,0,"STM\10695X_WHITE_F.jpg","STM\10695X_WHITE_B.jpg"
STM10697-BLK-S,"Bed of Roses Babydoll Set - Black Small",Babydoll,STM10697,59,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-BLK-M,"Bed of Roses Babydoll Set - Black Medium",Babydoll,STM10697,118,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-BLK-L,"Bed of Roses Babydoll Set - Black Large",Babydoll,STM10697,119,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-BLK-XL,"Bed of Roses Babydoll Set - Black X-Large",Babydoll,STM10697,122,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-RED-M,"Bed of Roses Babydoll Set - Red Medium",Babydoll,STM10697,69,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-RED-S,"Bed of Roses Babydoll Set - Red Small",Babydoll,STM10697,23,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-RED-L,"Bed of Roses Babydoll Set - Red Large",Babydoll,STM10697,76,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-RED-XL,,Babydoll,STM10697-RED-XL,73,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
