stock_code,parent_stock_type,parent_stock_code,stock_available
RR50011-BLK-M/L,Bodysuit,RR50011,2,"Rene\50011-BLK--Aim-To-Tease-Bodysuit-0328","Rene\50011-BLK--Aim-To-Tease-Bodysuit-0404.jpg"
RR50011-BLK-S/M,Bodysuit,RR50011,3,"Rene\50011-BLK--Aim-To-Tease-Bodysuit-0328","Rene\50011-BLK--Aim-To-Tease-Bodysuit-0404.jpg"
RR50013-BLK-M/L,Bodysuit,RR50013,5,"Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0282","Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0263.jpg"
RR50013-BLK-S/M,Bodysuit,RR50013,4,"Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0282","Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0263.jpg"
RR50014-WHT-M/L,Teddy,RR50014,0,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-WHT-S/M,Teddy,RR50014,0,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-RED-S/M,Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-RED-M/L,Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-BLK-S/M,Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-BLK-M/L,Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
