stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP153070-RED-XL,"Mini Short - Red X-Large",Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153070-RED-S,"Mini Short - Red Small",Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153076-RED-L,"Lo Rise Short - Red Large",Shorts,MP153076,1,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP153076-RED-S,"Lo Rise Short - Red Small",Shorts,MP153076,1,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP153076-RED-XL,"Lo Rise Short - Red X-Large",Shorts,MP153076,1,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP153076-ROY-L,"Lo Rise Short - Royal Large",Shorts,MP153076,2,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-ROY-M,"Lo Rise Short - Royal Medium",Shorts,MP153076,1,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-ROY-S,"Lo Rise Short - Royal Small",Shorts,MP153076,2,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-ROY-XL,"Lo Rise Short - Royal X-Large",Shorts,MP153076,1,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-BLK-L,"Lo Rise Short - Black Large",Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-BLK-M,"Lo Rise Short - Black Medium",Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-BLK-S,"Lo Rise Short - Black Small",Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-BLK-XL,"Lo Rise Short - Black X-Large",Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-RED-M,"Lo Rise Short - Red Medium",Shorts,MP153076,0,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP15311C-BLK-S,"Pouch Short - Black Small",Shorts,MP15311C,5,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
