stock_code,parent_stock_type,parent_stock_code,stock_available
STM10718-BLU-XL,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-PUR-L,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-PUR-M,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-PUR-S,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-PUR-XL,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10740P-WNE-OS,"Bra Set",STM10740P,12,"STM\10740P_WINE_F.JPG","STM\10740P_WINE_B.JPG"
STM10740P-BLK-OS,"Bra Set",STM10740P,0,"STM\10740_BLACK_F.jpg","STM\10740P_BLACK_B.jpg"
STM10760P-RED-OS,Thong,STM10760P,2,"STM\10760P_RED_F.JPG","STM\10760P_RED_B.JPG"
STM10760XP-RED-QUEEN,Thong,STM10760XP,1,"STM\10760XP_RED_F.jpg","STM\10760XP_RED_B.jpg"
STM10760XP-WHT-QUEEN,Thong,STM10760XP,1,"STM\10760XP_WHITE_F.jpg","STM\10760XP_WHITE_B.jpg"
STM10763-BLK-XL,Thong,STM10763,12,"STM Discontinued\10763_BLACK_F.jpg","STM Discontinued\10763_BLACK_B.jpg"
STM10763-RED-XL,Thong,STM10763,11,"STM Discontinued\10763_RED_F.jpg","STM Discontinued\10763_RED_B.jpg"
STM10763-WHT-L,Thong,STM10763,2,"STM Discontinued\10763_WHITE_F.jpg","STM Discontinued\10763_WHITE_B.jpg"
STM10763-WHT-XL,Thong,STM10763,3,"STM Discontinued\10763_WHITE_F.jpg","STM Discontinued\10763_WHITE_B.jpg"
STM10763X-WHT-1X/2X,Thong,STM10763X,1,"STM Discontinued\10763X_WHITE_F.JPG","STM Discontinued\10763X_WHITE_B.JPG"
STM10774-BLK-S,"Bra Set",STM10774,0,"STM\10774_BLACK_F"
STM10774-BLK-M,"Bra Set",STM10774,0,"STM\10774_BLACK_F"
STM10774-BLK-L,"Bra Set",STM10774,0,"STM\10774_BLACK_F"
STM10774-BLK-XL,"Bra Set",STM10774,0,"STM\10774_BLACK_F"
STM10774-RED-S,"Bra Set",STM10774,0,"STM\10774_Red_F"
STM10774-RED-M,"Bra Set",STM10774,0,"STM\10774_Red_F"
STM10774-RED-L,"Bra Set",STM10774,0,"STM\10774_Red_F"
STM10774-RED-XL,"Bra Set",STM10774,0,"STM\10774_Red_F"
STM10780-BLK-L,Bralette,STM10780,1,"STM\10780_BLACK_F"
STM10780-WHT-L,Bralette,STM10780,1,"STM\10780_WHITE_F"
STM10781-BLK-S,Thong,STM10781,0,"STM\10781_BLACK_F"
STM10781-BLK-M,Thong,STM10781,0,"STM\10781_BLACK_F"
STM10781-BLK-L,Thong,STM10781,0,"STM\10781_BLACK_F"
STM10781-BLK-XL,Thong,STM10781,0,"STM\10781_BLACK_F"
STM10781-WHT-S,Thong,STM10781,0,"STM\10781_WHITE_F"
STM10781-WHT-M,Thong,STM10781,0,"STM\10781_WHITE_F"
