stock_code,parent_stock_type,parent_stock_code,stock_available
MSB612-PUR-SM,"Bra Set",MSB612,1,"Magic Silk\B612-Purple.jpg","Magic Silk\B612-back.jpg"
MSB613-PUR-LXL,"Bra Set",MSB613,1,"Magic Silk\B613-Purple.jpg","Magic Silk\B613-back.jpg"
MSB613-PUR-SM,"Bra Set",MSB613,1,"Magic Silk\B613-Purple.jpg","Magic Silk\B613-back.jpg"
MSB614-PNK-LXL,Teddy,MSB614,2,"Magic Silk\B614PIN.jpg","Magic Silk\B614PIN_Back.jpg"
MSB614-PNK-SM,Teddy,MSB614,2,"Magic Silk\B614PIN.jpg","Magic Silk\B614PIN_Back.jpg"
MSB618-PNK-SM,Babydoll,MSB618,1,"Magic Silk\B618PIN.jpg","Magic Silk\B618PIN_Back.jpg"
MSB620-PNK-SM,"Bustiers & Corsets",MSB620,1,"Magic Silk\B620PIN.jpg","Magic Silk\B620PIN_Back.jpg"
MSB621-BLK-L,Babydoll,MSB621,1,"Magic Silk\B621BLK_2.jpg","Magic Silk\B621BLK_Back.jpg"
MSB621-BLK-XL,Babydoll,MSB621,1,"Magic Silk\B621BLK_2.jpg","Magic Silk\B621BLK_Back.jpg"
MSB621-PNK-L,Babydoll,MSB621,1,"Magic Silk\B621PIN.jpg","Magic Silk\B621PIN_Back.jpg"
MSB622-PNK-M,Teddy,MSB622,2,"Magic Silk\B622PIN.jpg","Magic Silk\B622PIN_Back.jpg"
MSB623-CRL-LXL,"Bra Set",MSB623,1,"Magic Silk\B623COR.jpg","Magic Silk\B623COR_Back.jpg"
MSB623-CRL-SM,"Bra Set",MSB623,1,"Magic Silk\B623COR.jpg","Magic Silk\B623COR_Back.jpg"
MSB625-CRL-LXL,Babydoll,MSB625,1,"Magic Silk\B625COR.jpg","Magic Silk\B625COR_Back.jpg"
MSB625-CRL-SM,Babydoll,MSB625,1,"Magic Silk\B625COR.jpg","Magic Silk\B625COR_Back.jpg"
MSB626-CRL-LXL,Teddy,MSB626,1,"Magic Silk\B626COR.jpg","Magic Silk\B626COR_Back.jpg"
